规则编号,规则名称,规则内容,类型,状态
R01,净胜球优先,先计算净胜0/1/2/3+球概率，再转换让胜平负,核心,启用
R02,净胜1球独立建模,-1与+1盘口重点估计刚好1球差的概率,核心,启用
R03,强队大胜触发器,攻击线、对手防线、近期表现同时满足才提高2球+概率；不能直接等同穿盘,修正,启用
R04,弱队崩溃指数,防守、伤停、近期失球、阵容完整度综合评分,修正,启用
R05,核心战力损失,按球员重要性、位置、替补差距、战术依赖量化,阵容,启用
R06,赛程/战意,记录14天赛程、连续客场、轮换和下一场重要性,赛程,启用
R07,时间节点分层,T-12h、T-6h、T-1h分别建模,流程,启用
R08,盘口变化,记录初盘、临场盘、水位、欧赔变化,市场,启用
R09,错误闭环,每次错误必须归类并形成下一轮可执行规则,复盘,启用
R10,下一对手必须纳入,必须检查未来1-2场对手、间隔天数与比赛重要性，作为轮换/战意核心变量,赛程,启用
R11,2+球尾部概率校正,当主队进攻上限、对手防线崩溃和阵容深度同时满足时，提高净胜2球及以上概率；不得因轮换标签机械下调,修正,启用
R12,真强/伪强识别,综合基础实力、xG/xGA、对手质量、强强对话、净胜球稳定性、攻防稳定、阵容深度、核心依赖及赛程战意,球队强度,启用
R13,深盘真实强度验证,-1.5及以上深盘必须先通过真强队+高赢球质量验证，再提高净胜2/3+球概率；不能因名气、排名或近期大胜直接判穿盘,深盘,启用
R14,赢球质量独立建模,区分1球险胜与2球以上稳定赢球，并按对手质量修正近期赛果，避免把连胜直接等同于穿盘能力,球队强度,启用
